Question ID (machine readable),Response ID (machine readable),Response value,Answer requirement,Human-friendly question label
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_SHARING_PURPOSE,PSL_PERSONALIZATION,,MULTIPLE_CHOICE,Uso y gestión de datos (Dirección de correo electrónico)/¿Por qué se comparten estos datos de usuario? Selecciona todas las opciones que correspondan./Personalización
PSL_DATA_USAGE_RESPONSES:PSL_EMAIL:DATA_USAGE_SHARING_PURPOSE,PSL_ACCOUNT_MANAGEMENT,true,MULTIPLE_CHOICE,Uso y gestión de datos (Dirección de correo electrónico)/¿Por qué se comparten estos datos de usuario? Selecciona todas las opciones que correspondan./Gestión de cuentas
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_COLLECTED,true,MULTIPLE_CHOICE,"Uso y gestión de datos (IDs de usuario)/¿Tu aplicación recoge estos datos, los comparte o hace ambas cosas?/Se recogen"
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:PSL_DATA_USAGE_COLLECTION_AND_SHARING,PSL_DATA_USAGE_ONLY_SHARED,true,MULTIPLE_CHOICE,"Uso y gestión de datos (IDs de usuario)/¿Tu aplicación recoge estos datos, los comparte o hace ambas cosas?/Se comparten"
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:PSL_DATA_USAGE_EPHEMERAL,,false,MAYBE_REQUIRED,Uso y gestión de datos (IDs de usuario)/¿Se tratan estos datos de forma temporal?
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_OPTIONAL,,SINGLE_CHOICE,Uso y gestión de datos (IDs de usuario)/¿Son estos datos necesarios para usar tu aplicación o pueden los usuarios elegir si se recogen o no?/Los usuarios pueden elegir si se recogen estos datos o no
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:DATA_USAGE_USER_CONTROL,PSL_DATA_USAGE_USER_CONTROL_REQUIRED,true,SINGLE_CHOICE,Uso y gestión de datos (IDs de usuario)/¿Son estos datos necesarios para usar tu aplicación o pueden los usuarios elegir si se recogen o no?/La recogida de datos es necesaria (los usuarios no pueden desactivarla)
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:DATA_USAGE_COLLECTION_PURPOSE,PSL_APP_FUNCTIONALITY,true,MULTIPLE_CHOICE,Uso y gestión de datos (IDs de usuario)/¿Por qué se recogen estos datos de usuario? Selecciona todas las opciones que correspondan./Funcionalidad de la aplicación
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:DATA_USAGE_COLLECTION_PURPOSE,PSL_ANALYTICS,true,MULTIPLE_CHOICE,Uso y gestión de datos (IDs de usuario)/¿Por qué se recogen estos datos de usuario? Selecciona todas las opciones que correspondan./Análisis
PSL_DATA_USAGE_RESPONSES:PSL_USER_ACCOUNT:DATA_USAGE_COLLECTION_PURPOSE,PSL_DEVELOPER_COMMUNICATIONS,,MULTIPLE_CHOICE,Uso y gestión de datos (IDs de usuario)/¿Por qué se recogen estos datos de usuario? Selecciona todas las opciones que correspondan./Comunicaciones del desarrollador
